Settlement,SocioeconomicCluster,PercentTechStudents,PercentTeachersMasters,PercentHighSchoolTeachersMasters,PercentRegionalAccommodations,PercentInstitutionalAccommodations,PersistenceRate,DropoutRate,PercentShakdQuestionnaires,PercentBagrutEligible,PercentBagrutEligibleRegular,PercentExcellentBagrut,PercentOutstandingBagrutRegular,Percent4UnitsEnglish,Percent4UnitsEnglishRegular,Percent5UnitsEnglish,Percent5UnitsEnglishRegular,Percent4UnitsMath,Percent4UnitsMathRegular,Percent5UnitsMath,Percent5UnitsMathRegular,AvgClassSizeHighSchool,Year,HighSchoolStudentsPerHighClass,TechClassRatio,GiftedClassRatio,StudentsPerResidentRatio,HighSchoolCoverageRatio,HilaStudentRatio,TeacherStudentRatio,StudentPerClass,StudentPerSchool,OutstandingToTotal,DropoutToPersistenceRatio,5UnitsIndex,DropoutRiskScore,SchoolExcellentScore,5UnitsIndexRegular,SchoolExcellentScoreRegular,4UnitsIndex,4UnitsIndexRegular,CrimeRate
אלעד,2,0.458530007,0.137430168,0.132013201,0.188436831,0.068522484,0.6856,0.008357273,0.006389776,0.396,0.401,0.02,0.021,0.112,0.117,0.153,0.16,0.094,0.1,0.064,0.068,31.12096774,2019,33.73873873873874,0.036036036036036036,0.0,0.35715146887433186,0.41333333333333333,0.0010689771576459998,0.05035445032069315,25.663396226415095,226.69333333333333,0.050505050505050504,0.012189721411901984,0.1085,0.0094747885864016,0.079,0.114,0.083,0.10300000000000001,0.10850000000000001,0.015640471234869762
אלקנה,7,0.197994987,0.523178808,0.607142857,0.257425743,0.336633663,0.75,0.001048218,0.0,0.956,0.949,0.114,0.133,0.325,0.286,0.632,0.663,0.342,0.357,0.316,0.367,26.0,2019,12.75,0.0,0.0,0.1953551912568306,0.6666666666666666,0.002331002331002331,0.175990675990676,27.02,450.3333333333333,0.1192468619246862,0.001397624,0.474,0.0025286029000740192,0.35400000000000004,0.515,0.38766666666666666,0.3335,0.3215,0.01116019530341781
אעבלין,3,0.367278798,0.41509434,0.468253968,0.152230971,0.293963255,0.8732,0.007284079,0.074324324,0.692,0.709,0.158,0.162,0.394,0.403,0.288,0.296,0.265,0.272,0.163,0.168,28.08,2019,13.73076923076923,0.057692307692307696,0.0,0.21615639985245297,0.4444444444444444,0.012286689419795221,0.12662116040955632,25.729559748427672,454.55555555555554,0.22832369942196534,0.008341822033898305,0.22549999999999998,0.016083883448790026,0.20299999999999999,0.23199999999999998,0.20866666666666667,0.3295,0.3375,0.0355414288810229
אפרת,6,0.127012522,0.468292683,0.511764706,0.257575758,0.303030303,0.4342,0.005624297,0.0,0.935,0.962,0.161,0.176,0.187,0.153,0.735,0.809,0.277,0.313,0.252,0.29,26.45454545,2019,22.214285714285715,0.0,0.0,0.23804878048780487,0.3333333333333333,0.0017076502732240437,0.14002732240437157,22.349442379182157,334.0,0.17219251336898395,0.012953240442192539,0.4935,0.00728763698669328,0.38266666666666665,0.5495,0.425,0.232,0.23299999999999998,0.010124019235636548
אריאל,6,0.59178744,0.456445993,0.682539683,0.301724138,0.120689655,0.8269,0.009687836,0.0,0.977,0.974,0.132,0.147,0.31,0.31,0.527,0.586,0.302,0.336,0.225,0.25,21.95,2019,33.333333333333336,0.16666666666666666,0.0,0.13456343574012178,0.14285714285714285,0.004763525008506295,0.09765226267437904,23.235294117647058,395.0,0.13510747185261004,0.011715849558592333,0.376,0.014751127139240507,0.2946666666666667,0.418,0.32766666666666666,0.306,0.323,0.03050682261208577
אשדוד,5,0.480993018,0.381299155,0.397786458,0.216479401,0.168913858,0.8351,0.007083564,0.009735744,0.675,0.713,0.048,0.052,0.248,0.27,0.352,0.384,0.16,0.176,0.153,0.167,25.02620087,2019,24.086666666666666,0.06666666666666667,0.013333333333333334,0.1949269765635568,0.40298507462686567,0.001947528653295129,0.07684903295128939,24.501375894331314,332.2313432835821,0.07111111111111111,0.008482294336007664,0.2525,0.00903778579294234,0.18433333333333335,0.2755,0.20100000000000004,0.20400000000000001,0.223,0.04630401142721104
אשקלון,5,0.630275411,0.373107747,0.426650367,0.219512195,0.220867209,0.9113,0.008016835,0.012396694,0.799,0.847,0.059,0.063,0.302,0.326,0.415,0.446,0.169,0.184,0.146,0.156,24.45327103,2019,24.64485981308411,0.11214953271028037,0.0,0.14884632505688,0.3508771929824561,0.002949117341640706,0.09329179646936657,25.679826933477557,416.50877192982455,0.07384230287859823,0.008797141446285526,0.28049999999999997,0.011007441966850596,0.20666666666666664,0.301,0.22166666666666668,0.2355,0.255,0.05037286630359545
באקה אל-גרביה,3,0.596584845,0.449319213,0.469565217,0.23434992,0.133226324,0.8955,0.00488732,0.033783784,0.67,0.685,0.123,0.127,0.317,0.322,0.247,0.254,0.236,0.236,0.101,0.105,27.74647887,2019,25.583333333333332,0.1388888888888889,0.0,0.23375609756097562,0.42857142857142855,0.0037562604340567614,0.09195882025598219,26.59040590405904,514.7142857142857,0.1835820895522388,0.005457643774427694,0.174,0.008634197601998335,0.157,0.1795,0.162,0.27649999999999997,0.279,0.04009937255151766
באר יעקב,7,0.633333333,0.371819961,0.344497608,0.496376812,0.101449275,0.5285,0.008849558,0.017241379,0.71,0.708,0.032,0.032,0.183,0.184,0.337,0.332,0.28,0.282,0.072,0.069,22.828125,2019,15.944444444444445,0.09259259259259259,0.0,0.15083379093089794,0.3125,0.0013412531136232995,0.09791147729450086,26.391578947368423,391.75,0.04507042253521127,0.016744669820245982,0.20450000000000002,0.009966341663050415,0.14700000000000002,0.2005,0.14433333333333334,0.2315,0.23299999999999998,0.019122106943335992
באר שבע,5,0.553869088,0.422711968,0.539871677,0.245714286,0.152380952,0.8961,0.008792417,0.006655574,0.792,0.839,0.052,0.056,0.282,0.301,0.379,0.409,0.178,0.19,0.145,0.158,25.14935065,2019,24.442307692307693,0.07371794871794872,0.022435897435897436,0.15109477385328432,0.32098765432098764,0.0030221523769228442,0.09873371815406932,24.239170677526843,404.1358024691358,0.06565656565656565,0.009811870326972436,0.262,0.01184725127524057,0.19200000000000003,0.2835,0.20766666666666667,0.22999999999999998,0.2455,0.07750207786628814
