Settlement,SocioeconomicCluster,PercentTechStudents,PercentTeachersMasters,PercentHighSchoolTeachersMasters,PercentRegionalAccommodations,PercentInstitutionalAccommodations,PersistenceRate,DropoutRate,PercentShakdQuestionnaires,PercentBagrutEligible,PercentBagrutEligibleRegular,PercentExcellentBagrut,PercentOutstandingBagrutRegular,Percent4UnitsEnglish,Percent4UnitsEnglishRegular,Percent5UnitsEnglish,Percent5UnitsEnglishRegular,Percent4UnitsMath,Percent4UnitsMathRegular,Percent5UnitsMath,Percent5UnitsMathRegular,AvgClassSizeHighSchool,Year,HighSchoolStudentsPerHighClass,TechClassRatio,GiftedClassRatio,StudentsPerResidentRatio,HighSchoolCoverageRatio,HilaStudentRatio,TeacherStudentRatio,StudentPerClass,StudentPerSchool,OutstandingToTotal,DropoutToPersistenceRatio,5UnitsIndex,DropoutRiskScore,SchoolExcellentScore,5UnitsIndexRegular,SchoolExcellentScoreRegular,4UnitsIndex,4UnitsIndexRegular,CrimeRate
שוהם,9,0.159397304,0.514285714,0.557692308,0.386046512,0.272093023,0.9042,0.004155125,0.006097561,0.935,0.935,0.2,0.198,0.171,0.17,0.749,0.749,0.323,0.326,0.302,0.3,30.53658537,2019,34.666666666666664,0.0,0.0,0.2082142704823645,0.2222222222222222,0.0006145022531749283,0.08603031544448997,28.5531914893617,521.8888888888889,0.21390374331550802,0.004595360539703605,0.5255,0.004793830556738344,0.417,0.5245,0.41566666666666663,0.247,0.248,0.013373806695701904
שלומי,5,0.704545455,0.419047619,0.535714286,0.428571429,0.4,0.6316,0.0,0.0,0.625,0.714,0.021,0.029,0.313,0.429,0.208,0.286,0.167,0.229,0.042,0.057,21.4,2019,45.42857142857143,0.0,0.14285714285714285,0.16334563345633457,0.3333333333333333,0.0007530120481927711,0.07906626506024096,24.128205128205128,313.6666666666667,0.033600000000000005,0.0,0.125,0.0010626992561105207,0.09033333333333333,0.17149999999999999,0.124,0.24,0.329,0.029948965887724954
שעב,2,0.12568306,0.42,0.605263158,0.14953271,0.018691589,0.9561,0.025099075,0.089285714,0.56,0.57,0.018,0.019,0.394,0.402,0.156,0.159,0.064,0.065,0.119,0.121,28.15384615,2019,30.692307692307693,0.0,0.0,0.20824068018312622,0.3333333333333333,0.010678391959798994,0.0942211055276382,24.241935483870968,501.0,0.03214285714285714,0.026251516577763832,0.1375,0.036409786909514304,0.09766666666666668,0.14,0.09966666666666668,0.229,0.2335,0.02932119426964788
שפרעם,3,0.532614026,0.420849421,0.426229508,0.293846154,0.093846154,0.8757,0.010210396,0.025773196,0.565,0.566,0.051,0.05,0.281,0.282,0.221,0.221,0.171,0.169,0.071,0.072,26.36144578,2019,27.91358024691358,0.06172839506172839,0.0,0.20058514559528198,0.36,0.0022970024118525324,0.08923854370047088,25.39366515837104,336.72,0.09026548672566372,0.011659696243005595,0.146,0.012586257249703017,0.11433333333333333,0.1465,0.11433333333333333,0.22600000000000003,0.22549999999999998,0.04632202650253772
תל מונד,8,0.304347826,0.464419476,0.528846154,0.364035088,0.600877193,0.9066,0.005602241,0.0,0.919,0.929,0.256,0.257,0.115,0.119,0.765,0.774,0.214,0.221,0.385,0.389,31.36363636,2019,37.31818181818182,0.0,0.0,0.22342539921869645,0.2,0.0027607361963190185,0.08190184049079755,29.33009708737864,604.2,0.27856365614798695,0.006179396646812266,0.575,0.00858138697815293,0.4686666666666666,0.5815,0.47333333333333333,0.1645,0.16999999999999998,0.017752296746563513
תל שבע,1,0.435935199,0.229793978,0.286885246,0.141752577,0.097938144,0.912,0.023287209,0.176470588,0.393,0.418,0.005,0.005,0.197,0.21,0.071,0.076,0.076,0.081,0.012,0.013,27.33333333,2019,27.22222222222222,0.18518518518518517,0.0,0.26662533581318454,0.4166666666666667,0.0062005890559603165,0.09781429235777399,24.076335877862597,525.6666666666666,0.01272264631043257,0.02553422039473684,0.041499999999999995,0.029628363090044386,0.029333333333333333,0.0445,0.03133333333333333,0.1365,0.1455,0.06114053131428071
אבו גוש,3,0.238938053,0.36627907,0.384615385,0.138888889,0.527777778,0.9177,0.003053435,0.032786885,0.675,0.748,0.041,0.047,0.317,0.364,0.122,0.14,0.203,0.234,0.065,0.075,23.41666667,2020,21.05263157894737,0.21052631578947367,0.0,0.1896963493688161,0.6,0.01079136690647482,0.10311750599520383,18.55072463768116,256.0,0.06074074074074074,0.003327269260106789,0.0935,0.017115935,0.076,0.10750000000000001,0.08733333333333333,0.26,0.299,0.05779400654746915
אבו סנאן,3,0.265799257,0.354609929,0.333333333,0.05952381,0.011904762,0.8945,0.013245033,0.014925373,0.629,0.667,0.157,0.167,0.191,0.202,0.337,0.357,0.185,0.196,0.152,0.161,27.05263158,2020,28.90909090909091,0.13636363636363635,0.0,0.18686336494555672,0.42857142857142855,0.0,0.10601503759398496,22.66355140186916,346.42857142857144,0.24960254372019078,0.014807191727221912,0.2445,0.013245033,0.21533333333333335,0.259,0.22833333333333336,0.188,0.199,0.03458841152039218
אבן יהודה,8,0.146692234,0.449324324,0.538461538,0.512544803,0.129032258,0.8747,0.008746356,0.0,0.882,0.883,0.15,0.153,0.239,0.241,0.582,0.588,0.275,0.281,0.232,0.237,25.40909091,2020,16.878048780487806,0.07317073170731707,0.0,0.2175726676819175,0.42857142857142855,0.002130249543517955,0.09007912355447352,28.131034482758622,582.7142857142857,0.17006802721088435,0.009999263747570595,0.407,0.010462462888943369,0.3213333333333333,0.4125,0.326,0.257,0.261,0.024991298294465714
אום אל-פחם,2,0.498234175,0.364723468,0.444736842,0.144939966,0.382504288,0.9535,0.006427605,0.012320329,0.656,0.685,0.137,0.144,0.333,0.349,0.208,0.22,0.181,0.191,0.112,0.118,26.21323529,2020,22.766666666666666,0.09333333333333334,0.0,0.23407339975387312,0.43333333333333335,0.0021606049693914295,0.09636298163485776,24.74171029668412,472.56666666666666,0.20884146341463417,0.006741064499213425,0.16,0.008543708548000283,0.15233333333333335,0.16899999999999998,0.16066666666666665,0.257,0.27,0.03286457001619364
אופקים,3,0.504247104,0.342857143,0.336492891,0.099378882,0.223602484,0.7433,0.008962868,0.0,0.475,0.517,0.022,0.025,0.181,0.202,0.154,0.168,0.118,0.134,0.047,0.053,23.74603175,2020,22.063492063492063,0.09523809523809523,0.0,0.17588603747654413,0.4,0.0036063110443275734,0.07888805409466566,22.672504378283712,258.92,0.04631578947368421,0.01205821068209337,0.1005,0.01267057694484783,0.07433333333333333,0.1105,0.082,0.1495,0.168,0.04117613924407142
אור יהודה,6,0.346313173,0.396761134,0.385057471,0.264788732,0.346478873,0.7459,0.00942623,0.0,0.7,0.776,0.041,0.045,0.199,0.218,0.302,0.35,0.134,0.151,0.07,0.078,23.01886792,2020,25.553571428571427,0.10714285714285714,0.0,0.15444784894003935,0.4117647058823529,0.003870967741935484,0.07967741935483871,24.445916114790286,325.70588235294116,0.05857142857142858,0.012637391071189169,0.186,0.013760707153693336,0.13766666666666666,0.214,0.15766666666666665,0.1665,0.1845,0.04015030627477222
אור עקיבא,5,0.532133676,0.49122807,0.646616541,0.41314554,0.431924883,0.7841,0.004750594,0.0,0.92,0.94,0.072,0.084,0.42,0.433,0.292,0.34,0.22,0.251,0.108,0.126,19.97560976,2020,17.65,0.125,0.0,0.13593356195512954,0.4166666666666667,0.004863221884498481,0.12127659574468085,22.854368932038835,294.25,0.07826086956521738,0.006058658334396123,0.19999999999999998,0.009281888250920418,0.15733333333333333,0.233,0.18333333333333335,0.32,0.34199999999999997,0.04306793139791128
אורנית,8,0.413394919,0.477419355,0.607142857,0.267857143,0.3125,0.7605,0.0,0.0,0.898,0.92,0.079,0.089,0.126,0.063,0.772,0.857,0.252,0.277,0.252,0.286,30.05,2020,32.4,0.0,0.0,0.2208851317752362,0.25,0.00045024763619990995,0.06978838361098605,28.211267605633804,500.75,0.08797327394209355,0.0,0.512,0.0004992511233150275,0.36766666666666664,0.5715,0.4106666666666667,0.189,0.17,0.018074233458848843
אילת,6,0.345653306,0.42087156,0.524216524,0.241438356,0.13869863,0.8799,0.007373506,0.0,0.702,0.755,0.053,0.06,0.211,0.219,0.441,0.483,0.14,0.156,0.084,0.094,22.01149425,2020,22.47826086956522,0.13043478260869565,0.0,0.160083015050838,0.3181818181818182,0.004030940189563134,0.09499945527835277,23.75890410958904,394.1818181818182,0.0754985754985755,0.008379936356404136,0.2625,0.01164011116605166,0.19266666666666668,0.2885,0.21233333333333335,0.1755,0.1875,0.11179469812421215
אכסאל,3,0.388308977,0.422343324,0.449438202,0.423487544,0.245551601,0.9629,0.009198423,0.007462687,0.682,0.682,0.025,0.025,0.399,0.396,0.163,0.164,0.198,0.2,0.018,0.018,28.03333333,2020,20.04255319148936,0.10638297872340426,0.0,0.24185580774365822,0.5555555555555556,0.0002760143527463428,0.1012972674579078,23.398692810457515,397.77777777777777,0.036656891495601175,0.009552833108318622,0.0905,0.009477752608938548,0.06866666666666667,0.091,0.06899999999999999,0.2985,0.29800000000000004,0.03781950965049557
אלעד,2,0.480234713,0.152149945,0.146788991,0.196969697,0.175324675,0.6783,0.004680956,0.006349206,0.456,0.466,0.035,0.038,0.162,0.174,0.148,0.162,0.111,0.121,0.074,0.081,29.30136986,2020,32.33870967741935,0.03225806451612903,0.0,0.36181328617931924,0.45,0.0007775186049094747,0.05037209818949239,25.391049156272928,216.3,0.07675438596491228,0.006901011351909184,0.11099999999999999,0.005490017488673139,0.08566666666666667,0.1215,0.09366666666666666,0.1365,0.1475,0.01600420312405278
אלקנה,7,0.27482679,0.558282209,0.610526316,0.166666667,0.531746032,0.8218,0.00194742,0.0,0.951,0.944,0.273,0.304,0.14,0.104,0.811,0.84,0.273,0.288,0.413,0.472,28.0,2020,12.588235294117647,0.0,0.0,0.19808743169398907,0.5,0.0011494252873563218,0.18735632183908046,27.185185185185187,367.0,0.2870662460567824,0.0023697006570941835,0.612,0.002628618910081744,0.49899999999999994,0.6559999999999999,0.5386666666666666,0.20650000000000002,0.19599999999999998,0.010230179028132993
אעבלין,3,0.351741716,0.458115183,0.504,0.219101124,0.334269663,0.9,0.006885593,0.027586207,0.769,0.789,0.145,0.15,0.468,0.482,0.266,0.274,0.266,0.274,0.145,0.15,27.42857143,2020,13.339622641509434,0.05660377358490566,0.0,0.21372187384728883,0.4444444444444444,0.007248878149810148,0.1318605453917846,25.157232704402517,444.44444444444446,0.18855656697009102,0.007650658888888888,0.20550000000000002,0.012135593,0.18533333333333335,0.21200000000000002,0.19133333333333336,0.367,0.378,0.034024416672686554
אפרת,6,0.166118421,0.471962617,0.532258065,0.305555556,0.215277778,0.4955,0.003099174,0.0,0.982,0.993,0.158,0.182,0.164,0.146,0.794,0.832,0.303,0.336,0.352,0.394,27.83333333,2020,21.79310344827586,0.0,0.0,0.2548780487804878,0.3,0.0019138755980861245,0.1365231259968102,22.68840579710145,313.1,0.16089613034623218,0.006254639757820384,0.573,0.005015494664324497,0.4346666666666666,0.613,0.4693333333333333,0.23349999999999999,0.241,0.010545853370454737
אריאל,6,0.555045872,0.44966443,0.630769231,0.222222222,0.027777778,0.7118,0.002116402,0.0,0.959,0.954,0.124,0.139,0.397,0.426,0.38,0.426,0.24,0.259,0.174,0.194,21.52380952,2020,33.578947368421055,0.15789473684210525,0.0,0.1386383407353143,0.125,0.005284015852047556,0.09841479524438573,22.808,356.375,0.12930135557872785,0.002973309918516437,0.277,0.007728467941774815,0.226,0.31,0.253,0.3185,0.3425,0.0361598440545809
אשדוד,5,0.488617489,0.39322232,0.408441558,0.186821705,0.208139535,0.8388,0.004050356,0.005517241,0.699,0.734,0.069,0.075,0.227,0.245,0.389,0.422,0.182,0.198,0.153,0.166,24.61935484,2020,24.325056433408577,0.06772009029345373,0.013544018058690745,0.19687746811360848,0.39855072463768115,0.0013298167069305613,0.07586604313038853,24.503945578231292,326.27536231884056,0.09871244635193134,0.004828750596089651,0.271,0.005382919407808821,0.20366666666666666,0.294,0.22099999999999997,0.20450000000000002,0.2215,0.04778531656284305
אשקלון,5,0.652088258,0.386003521,0.444038929,0.210061183,0.264445955,0.9243,0.006817726,0.002040816,0.858,0.894,0.08,0.085,0.319,0.332,0.457,0.482,0.197,0.209,0.167,0.175,24.3640553,2020,24.929906542056074,0.09813084112149532,0.0,0.15382332574933227,0.3448275862068966,0.002532154340836013,0.09131832797427653,25.798425196850392,423.67241379310343,0.09324009324009325,0.007376096505463593,0.312,0.00938151552508851,0.23466666666666666,0.3285,0.24733333333333332,0.258,0.2705,0.05393174783528582
באקה אל-גרביה,3,0.56626506,0.484351714,0.53526971,0.286486486,0.144144144,0.8667,0.001673173,0.033783784,0.677,0.694,0.121,0.124,0.33,0.341,0.224,0.231,0.215,0.222,0.115,0.119,26.47945205,2020,25.424657534246574,0.1506849315068493,0.0,0.23307317073170733,0.42857142857142855,0.0033486814566764337,0.09362355239291195,25.869090909090907,508.14285714285717,0.17872968980797635,0.0019305099803853698,0.1695,0.005046802463030644,0.15333333333333335,0.175,0.158,0.2725,0.28150000000000003,0.044144345001114756
באר יעקב,7,0.611111111,0.398613518,0.404166667,0.416445623,0.106100796,0.7672,0.005029014,0.01369863,0.823,0.829,0.058,0.059,0.232,0.235,0.388,0.389,0.235,0.237,0.119,0.117,23.39130435,2020,15.413793103448276,0.10344827586206896,0.0,0.16580445651859774,0.2631578947368421,0.0019173784207774098,0.10057521352623322,26.08193668528864,368.57894736842104,0.07047387606318348,0.006555023461939521,0.2535,0.006599769390546908,0.18833333333333335,0.253,0.18833333333333332,0.23349999999999999,0.236,0.023655227454110136
באר שבע,5,0.552898744,0.435772852,0.53975265,0.227657573,0.19332079,0.9074,0.006479919,0.006339144,0.821,0.875,0.061,0.066,0.308,0.333,0.381,0.415,0.217,0.237,0.136,0.15,24.96518987,2020,24.369426751592357,0.0732484076433121,0.022292993630573247,0.15330486997420031,0.32142857142857145,0.0026807255830578144,0.09808477050010425,24.24328249818446,397.4166666666667,0.07429963459196103,0.0071411935199471015,0.2585,0.009175901985351825,0.19266666666666668,0.2825,0.21033333333333334,0.2625,0.28500000000000003,0.08805950635500229
בית אל,3,0.0,0.567307692,0.575221239,0.12849162,0.502793296,0.5909,0.001436782,0.0,0.822,0.846,0.223,0.242,0.442,0.473,0.335,0.352,0.355,0.385,0.173,0.187,30.63636364,2020,24.22222222222222,0.05555555555555555,0.0,0.2677152317880795,0.5,0.022263450834879406,0.12863327149041434,25.885714285714286,302.0,0.2712895377128954,0.002431514638686749,0.254,0.021304331668874174,0.24366666666666667,0.26949999999999996,0.2603333333333333,0.39849999999999997,0.429,0.02177472167648985
בית ג'ן,3,0.774914089,0.477477477,0.515151515,0.131707317,0.146341463,0.9811,0.004971002,0.0,0.981,0.98,0.058,0.059,0.423,0.424,0.413,0.415,0.274,0.273,0.125,0.127,23.72,2020,26.347826086956523,0.13043478260869565,0.0,0.19589810368682348,0.25,0.007478188616535106,0.0922309929372663,25.172043010752688,585.25,0.059123343527013254,0.00506676383651004,0.269,0.012660023785561726,0.19866666666666669,0.271,0.20033333333333334,0.34850000000000003,0.34850000000000003,0.01616665326148154
בית שאן,5,0.507803121,0.459090909,0.5,0.303167421,0.2760181,0.8446,0.003636364,0.003558719,0.785,0.801,0.081,0.09,0.332,0.326,0.377,0.412,0.194,0.217,0.158,0.176,17.20833333,2020,19.68,0.12,0.0,0.19156501555632377,0.4,0.0002577984016499098,0.11343129672596029,21.327868852459016,260.2,0.10318471337579618,0.004305427421264504,0.2675,0.0038925771693569047,0.20533333333333334,0.294,0.22599999999999998,0.263,0.2715,0.04996592041105227
בית שמש,2,0.402932738,0.289935365,0.289617486,0.216027875,0.241289199,0.7142,0.012624448,0.001777778,0.489,0.511,0.065,0.074,0.15,0.159,0.284,0.308,0.153,0.168,0.086,0.097,25.44,2020,27.627240143369175,0.0931899641577061,0.0,0.19098363595070464,0.4295774647887324,0.0015334063526834612,0.0677828195900485,23.288973384030417,215.66901408450704,0.13292433537832313,0.01767634836180342,0.185,0.014224448,0.145,0.2025,0.15966666666666668,0.1515,0.1635,0.022450773785667188
ביתר עילית,1,0.487912088,0.136513158,0.092039801,0.104672897,0.013084112,0.6228,0.006748466,0.006097561,0.153,0.138,0.008,0.009,0.038,0.039,0.032,0.033,0.058,0.066,0.002,0.002,28.3559322,2020,34.11029411764706,0.07352941176470588,0.0,0.3146894530968086,0.4725274725274725,0.0006880102742867626,0.0557746995688469,24.767857142857142,228.62637362637363,0.05228758169934641,0.010835687219010917,0.017,0.007469446533525595,0.014,0.0175,0.014666666666666668,0.048,0.052500000000000005,0.0142464383904024
בני ברק,2,0.32289502,0.178504673,0.167434716,0.033682294,0.091488393,0.7718,0.009686324,0.002793296,0.077,0.08,0.015,0.017,0.019,0.02,0.043,0.047,0.021,0.024,0.015,0.017,29.4144,2020,21.876953125,0.017578125,0.0,0.22864803270996717,0.49765258215962443,0.0013289555972482803,0.04182301438398999,26.366810138689623,258.84037558685446,0.1948051948051948,0.012550303187354235,0.028999999999999998,0.010919705096620899,0.024333333333333332,0.032,0.027,0.02,0.022,0.017906455941417036
בסמת טבעון,2,0.288951841,0.44966443,0.575,0.262295082,0.0,0.9609,0.02303523,0.114754098,0.608,0.608,0.023,0.023,0.223,0.223,0.277,0.277,0.1,0.1,0.008,0.008,29.41666667,2020,39.166666666666664,0.25,0.0,0.21492354740061162,0.25,0.0,0.08480364257256688,24.62295081967213,375.5,0.03782894736842105,0.023972556977833282,0.14250000000000002,0.02303523,0.10266666666666668,0.14250000000000002,0.10266666666666668,0.1615,0.1615,0.03585021485573972
בת ים,5,0.45179692,0.400698893,0.521912351,0.265957447,0.14893617,0.8014,0.007116464,0.002659574,0.84,0.87,0.065,0.07,0.24,0.239,0.467,0.501,0.219,0.235,0.145,0.157,22.62658228,2020,24.94267515923567,0.17197452229299362,0.0,0.13066461223960518,0.3404255319148936,0.0015761821366024518,0.10023350846468185,23.475,359.6170212765957,0.07738095238095238,0.008880039930122286,0.306,0.008713908089456868,0.22566666666666668,0.329,0.24266666666666667,0.22949999999999998,0.237,0.057696648892694505
ג'דיידה-מכר,2,0.557746479,0.421176471,0.393162393,0.32967033,0.032967033,0.9387,0.015078408,0.0,0.739,0.742,0.076,0.076,0.35,0.35,0.232,0.234,0.17,0.171,0.099,0.1,26.05,2020,25.11627906976744,0.18604651162790697,0.0,0.21251675021092858,0.4,0.0021018215787015414,0.09925268566090611,24.348837209302324,418.8,0.10284167794316644,0.016063074464685204,0.1655,0.017227405134670488,0.13566666666666669,0.167,0.1366666666666667,0.26,0.2605,0.0504232779756673
ג'וליס,4,0.428057554,0.504132231,0.531914894,0.136842105,0.168421053,0.8761,0.0,0.017857143,0.899,0.917,0.02,0.021,0.455,0.458,0.242,0.25,0.323,0.333,0.101,0.104,23.16666667,2020,26.833333333333332,0.25,0.0,0.17892851813162214,0.3333333333333333,0.0,0.10091743119266056,25.2,378.0,0.02224694104560623,0.0,0.17149999999999999,0.0,0.121,0.177,0.125,0.389,0.3955,0.026714158504007122
ג'לג'וליה,2,0.47505423,0.385964912,0.433333333,0.14379085,0.836601307,0.8325,0.004319654,0.0,0.667,0.658,0.05,0.052,0.333,0.323,0.245,0.252,0.151,0.155,0.05,0.052,28.8125,2020,35.6875,0.3125,0.0,0.21973219267249394,0.2,0.0016927634363097758,0.09648751586965722,23.358695652173914,429.8,0.07496251874062969,0.005188773573573574,0.1475,0.006180984851558865,0.11499999999999999,0.152,0.11866666666666666,0.242,0.239,0.04524460363842021
ג'ת,4,0.897196262,0.459330144,0.484375,0.213973799,0.23580786,0.8406,0.004608295,0.027777778,0.821,0.82,0.158,0.155,0.491,0.494,0.282,0.279,0.278,0.275,0.167,0.167,29.18181818,2020,31.59090909090909,0.13636363636363635,0.0,0.20646805798948542,0.16666666666666666,0.002700617283950617,0.08063271604938271,28.695652173913043,440.0,0.19244823386114496,0.0054821496550083275,0.22449999999999998,0.007259810151515151,0.20233333333333334,0.22300000000000003,0.20033333333333336,0.3845,0.3845,0.029181494661921707
גבעת שמואל,8,0.385672228,0.426636569,0.568627451,0.340080972,0.336032389,0.6835,0.0,0.0,0.984,0.988,0.436,0.451,0.179,0.15,0.805,0.837,0.331,0.341,0.428,0.443,29.97058824,2020,36.73529411764706,0.0,0.0,0.1993153555959201,0.375,0.0003505082369435682,0.07763757448300035,29.666666666666668,645.25,0.44308943089430897,0.0,0.6165,0.0003874467260751647,0.5563333333333333,0.64,0.5770000000000001,0.255,0.2455,0.018762502586742086
גבעתיים,8,0.190379747,0.510917031,0.592307692,0.273049645,0.219858156,0.9313,0.002635542,0.0,0.955,0.989,0.303,0.332,0.112,0.096,0.79,0.848,0.292,0.317,0.258,0.284,32.48051948,2020,24.46268656716418,0.014925373134328358,0.0,0.13663609816076644,0.35714285714285715,0.0014998125234345708,0.08586426696662917,28.41780821917808,592.7142857142857,0.3172774869109948,0.002829960270589498,0.524,0.004081673597975416,0.4503333333333333,0.566,0.488,0.20199999999999999,0.20650000000000002,0.023593437116465346
גדרה,7,0.388825542,0.486842105,0.572614108,0.278,0.374,0.9278,0.005081875,0.0,0.924,0.978,0.174,0.195,0.313,0.338,0.565,0.618,0.279,0.306,0.2,0.223,29.54098361,2020,20.840579710144926,0.043478260869565216,0.0,0.21290532833632067,0.4,0.0009184142048063677,0.09306597275371192,26.719367588932805,450.6666666666667,0.1883116883116883,0.005477338866134942,0.38249999999999995,0.005969448964497041,0.31299999999999994,0.4205,0.3453333333333333,0.29600000000000004,0.322,0.02099370188943317
גן יבנה,7,0.714411248,0.475703325,0.478873239,0.223433243,0.419618529,0.9005,0.000820681,0.022556391,0.868,0.871,0.1,0.102,0.189,0.195,0.629,0.64,0.234,0.239,0.205,0.206,28.02439024,2020,34.6,0.075,0.0,0.23107097617782862,0.25,0.00017683465959328028,0.06914235190097259,27.724719101123597,616.875,0.1152073732718894,0.0009113614658523043,0.417,0.0010233152451874367,0.3113333333333333,0.423,0.316,0.21150000000000002,0.217,0.03332790754455929
גני תקווה,8,0.296598639,0.45,0.532608696,0.36199095,0.190045249,0.8085,0.003851091,0.0,0.939,0.95,0.204,0.206,0.104,0.101,0.796,0.817,0.352,0.362,0.33,0.344,28.59259259,2020,37.4,0.0,0.0,0.17510859602279522,0.2,0.001137915339098771,0.06827492034592626,29.11111111111111,419.2,0.21725239616613418,0.004763254174397031,0.5630000000000001,0.005043839091603054,0.44333333333333336,0.5805,0.45566666666666666,0.22799999999999998,0.23149999999999998,0.018438636555865685
דבוריה,3,0.548956661,0.54822335,0.620689655,0.082125604,0.367149758,0.9289,0.005695688,0.088235294,0.684,0.694,0.153,0.155,0.311,0.316,0.364,0.369,0.191,0.194,0.158,0.16,28.31818182,2020,30.545454545454547,0.13636363636363635,0.0,0.2251053864168618,0.25,0.0012484394506866417,0.08198085726175613,26.850574712643677,584.0,0.22368421052631576,0.006131648186026483,0.261,0.006979934575342466,0.225,0.2645,0.228,0.251,0.255,0.04145508263318253
דימונה,4,0.442111578,0.423242468,0.460431655,0.163776493,0.238921002,0.877,0.008083832,0.015544041,0.839,0.854,0.08,0.083,0.295,0.298,0.447,0.457,0.226,0.232,0.107,0.109,23.02739726,2020,21.15068493150685,0.0958904109589041,0.0,0.1700994137139944,0.4166666666666667,0.007343024127079274,0.10445077176682152,24.69818181818182,283.0,0.09535160905840287,0.009217596351197264,0.277,0.015298201846878683,0.21133333333333335,0.28300000000000003,0.21633333333333335,0.2605,0.265,0.06993691537959539
הוד השרון,8,0.256906077,0.490791897,0.568914956,0.40377804,0.272727273,0.8951,0.00523195,0.005617978,0.898,0.932,0.243,0.259,0.098,0.098,0.754,0.8,0.239,0.255,0.309,0.331,28.4950495,2020,25.675925925925927,0.027777777777777776,0.037037037037037035,0.18931689936231708,0.2222222222222222,0.0012116316639741518,0.0877221324717286,28.369690011481055,457.5925925925926,0.2706013363028953,0.005845101106021673,0.5315,0.006446033367057871,0.43533333333333335,0.5655,0.4633333333333334,0.16849999999999998,0.1765,0.02319626908891395
הרצליה,8,0.473533619,0.477172312,0.586638831,0.32938856,0.267258383,0.8706,0.003773585,0.0,0.905,0.914,0.234,0.242,0.166,0.16,0.691,0.711,0.258,0.264,0.3,0.31,26.4296875,2020,23.843971631205672,0.06382978723404255,0.06382978723404255,0.13765301426599172,0.30303030303030304,0.001337255950788981,0.09079967905857181,27.232600732600734,450.57575757575756,0.2585635359116022,0.004334464736963014,0.49549999999999994,0.005118665368552021,0.40833333333333327,0.5105,0.421,0.21200000000000002,0.21200000000000002,0.03565640194489465
זכרון יעקב,8,0.426699427,0.449704142,0.478873239,0.318021201,0.16254417,0.717,0.004575496,0.0,0.87,0.936,0.274,0.323,0.114,0.092,0.702,0.801,0.247,0.287,0.322,0.379,26.57142857,2020,23.27777777777778,0.0,0.0,0.2108513636740446,0.47058823529411764,0.004717908393945351,0.09966581482209554,23.923766816143498,313.8235294117647,0.3149425287356322,0.006381444909344491,0.512,0.009074090189315839,0.4326666666666667,0.5900000000000001,0.501,0.1805,0.1895,0.027169186166908263
זמר,3,0.415506958,0.451851852,0.596491228,0.601351351,0.209459459,0.9434,0.001490313,0.014492754,0.853,0.85,0.12,0.122,0.453,0.449,0.253,0.252,0.307,0.313,0.133,0.136,29.81818182,2020,21.88235294117647,0.11764705882352941,0.0,0.20164714965898856,0.25,0.0006381620931716656,0.08615188257817485,25.88888888888889,407.75,0.1406799531066823,0.0015797254610981557,0.193,0.0021034337847946043,0.16866666666666666,0.194,0.17,0.38,0.381,0.033257342094676144
זרזיר,2,0.368725869,0.406779661,0.433962264,0.192771084,0.63253012,0.9497,0.010731707,0.015151515,0.647,0.657,0.006,0.006,0.335,0.337,0.159,0.163,0.094,0.096,0.035,0.036,28.77777778,2020,29.333333333333332,0.16666666666666666,0.0,0.23905351614329942,0.25,0.002312673450508788,0.0818686401480111,26.038961038961038,501.25,0.00927357032457496,0.011300102137517112,0.097,0.013225472586034914,0.06666666666666667,0.0995,0.06833333333333334,0.21450000000000002,0.21650000000000003,0.05779334500875657
חדרה,6,0.455345241,0.408376963,0.447013487,0.329292929,0.17979798,0.8619,0.00315198,0.005228758,0.763,0.796,0.063,0.072,0.236,0.253,0.421,0.46,0.186,0.205,0.124,0.141,25.95333333,2020,23.503184713375795,0.10191082802547771,0.0,0.1543015033016438,0.37254901960784315,0.0010926308121889036,0.09275221561248027,24.57163323782235,336.29411764705884,0.08256880733944955,0.0036570135746606335,0.27249999999999996,0.004201481486793773,0.20266666666666663,0.3005,0.2243333333333333,0.211,0.22899999999999998,0.044778292136139985
חולון,7,0.483057404,0.447654784,0.509174312,0.309545876,0.202038925,0.917,0.002894123,0.003202562,0.792,0.857,0.083,0.092,0.224,0.243,0.471,0.518,0.184,0.202,0.183,0.201,26.35,2020,26.52029520295203,0.09225092250922509,0.04797047970479705,0.16560265312467612,0.36666666666666664,0.0014393891983227986,0.08339070029413605,26.559453302961277,485.81666666666666,0.10479797979797979,0.0031560774263904036,0.32699999999999996,0.004472221734090363,0.24566666666666662,0.35950000000000004,0.27033333333333337,0.20400000000000001,0.2225,0.034103365882489634
חורה,1,0.408886389,0.252941176,0.357142857,0.113871636,0.221532091,0.9277,0.029970565,0.096525097,0.717,0.728,0.033,0.035,0.388,0.392,0.238,0.244,0.22,0.224,0.047,0.049,25.9,2020,14.08974358974359,0.1794871794871795,0.0,0.25418243150841047,0.5,0.01093974175035868,0.12195121951219512,23.60472972972973,499.07142857142856,0.04602510460251046,0.032306311307534766,0.1425,0.0387010644990697,0.10599999999999998,0.1465,0.10933333333333332,0.304,0.308,0.03198775279993554
